Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
buffDSFocusBowsName,ui,Buff,,,,Focused Study: Bows,,,,,,,,,,,,,
buffDSFocusBowsDesc,ui,Buff,,,,Your study of bows sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
bowsSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Bows — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusHandgunsName,ui,Buff,,,,Focused Study: Handguns,,,,,,,,,,,,,
buffDSFocusHandgunsDesc,ui,Buff,,,,Your study of handguns sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
handgunsSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Handguns — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusShotgunsName,ui,Buff,,,,Focused Study: Shotguns,,,,,,,,,,,,,
buffDSFocusShotgunsDesc,ui,Buff,,,,Your study of shotguns sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
shotgunsSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Shotguns — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusRiflesName,ui,Buff,,,,Focused Study: Rifles,,,,,,,,,,,,,
buffDSFocusRiflesDesc,ui,Buff,,,,Your study of rifles sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
riflesSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Rifles — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusMachinegunsName,ui,Buff,,,,Focused Study: Machine Guns,,,,,,,,,,,,,
buffDSFocusMachinegunsDesc,ui,Buff,,,,Your study of machine guns sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
machineGunsSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Machine Guns — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusExplosivesName,ui,Buff,,,,Focused Study: Explosives,,,,,,,,,,,,,
buffDSFocusExplosivesDesc,ui,Buff,,,,Your study of explosives sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
explosivesSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Explosives — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusRoboticsName,ui,Buff,,,,Focused Study: Robotics,,,,,,,,,,,,,
buffDSFocusRoboticsDesc,ui,Buff,,,,Your study of robotics sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
roboticsSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Robotics — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusHarvestingToolsName,ui,Buff,,,,Focused Study: Harvesting Tools,,,,,,,,,,,,,
buffDSFocusHarvestingToolsDesc,ui,Buff,,,,Your study of harvesting tools sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
harvestingToolsSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Harvesting Tools — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusSalvageToolsName,ui,Buff,,,,Focused Study: Salvage Tools,,,,,,,,,,,,,
buffDSFocusSalvageToolsDesc,ui,Buff,,,,Your study of salvage tools sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
salvageToolsSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Salvage Tools — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusRepairToolsName,ui,Buff,,,,Focused Study: Repair Tools,,,,,,,,,,,,,
buffDSFocusRepairToolsDesc,ui,Buff,,,,Your study of repair tools sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
repairToolsSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Repair Tools — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
